id,name,description,price,stock,unlimited_stock,status,createdAt,updatedAt,deletedAt,sku
75,Buku Anak Tuntunan Doa Harian,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 190
76,Juz Amma Terjemah Merah B5,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 162
77,Susu Kambing Etawalin 200 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Eta 3583
78,Zymuno 200 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,TJI 01
79,Madu Batuk Mint 175 gr Eliman,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR1024118
80,Parfum Saudi 3 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PS
81,Buku Anak Tata cara Shalat dan Wudhu Nabi,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 189
82,Buku Anak Tuntunan Hafalan Hadist Jilid 1,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 202
83,Madu Multiflora Gudang Herbal 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Gudang Herbal 01
84,Habbasyi Ekstrak Trigona 77 100 Kpl,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fotosintesis 002
85,Susu Kambing Etawaku 200 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Eta 3582
86,Minyak Zaitun Leriche 300 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1586
87,Kurma Sukari Castle Farm 1 Kg,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Castle Farm 08
88,Al Quran Al Hufaz A5 HC,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Cordoba 110301
89,Buku Anak Tuntunan Hafalan Juz Amma Jilid 1,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 222
90,Buku Anak Tuntunan Hafalan Hadist Jilid 2,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIU 202A
91,Ensiklopedi FIKIH WANITA,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS EFW
92,Habbasyi Ekstrak Trigona 77 200 Kpl,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fotosintesis  003
93,Durusul Lughah 1 Hijau,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kitab 0708
94,Kopi Borneo 200 gr Sachet,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,5041
95,Kamus AL MUNAWIR Indo Arab Merah,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1327
96,MGanik Metafiber Rasa Jeruk Yuzu 450 g,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Mganik 003
97,Kamus AL MUNAWIR Arab Indo Biru,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,1326
98,Habbasyifa 90 kps,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Syifa 001
99,Kapsul Mengkudu Fittenzo 60 Kpl,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Thoifah 169223
100,Madu As Salamah 8 in 1,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Salamah 1642
101,Al Quran Al Madinah Wakaf A5 14 x 20 cm,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS DA MASA5 WAKAF
102,Sirah Nabawiyah,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 0153
103,Madu Hitam Pahit Gamat Gold Plus 470 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,El Madinah 71
104,Safe Care,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,8995102800448
105,Parfum Akim 6ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,2201
106,Kopi Purwoceng Sachet,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Toga 03
107,Etawa putih Madu Jahe Ratu Lebah 250 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Ratu Lebah 2145
108,Mulia Dengan Manhaj Salaf,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PAT-13
109,Medina Zaitun Extra Virgin Oil 60 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Medina 1942
110,Kurma Sukari 3 kg,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Kurma 0383
111,Kitab Tauhid Jilid 1,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 1461
112,Gold G Jelly Gamat 320 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,3675
113,Kismis Toples 250Gram,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR12242
114,Juz Amma & Iqro Tulis Metode Follow The Line,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Lestari Madinah 001
115,Souvenir Dzikir Pagi Petang,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PAT-22
116,Kitab Tauhid Jilid 3,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 1463
117,Kitab Tauhid Jilid 2,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 1462
118,Minhajul Muslim,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,DH 159
119,Garam Himalayan Toples 250 Gram,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,146816465
120,KAMUS SANTRI SALUNI,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Arafah 1305
121,Minyak Zaitun Afra,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR122414
122,Madu Hutan Akasia Sumatera Hijrah 500 gr,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR012512
123,Sirah Nabawiyah For KIDS,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PR04258
124,Ad Daa wa Ad Dawaa,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,PIS AWD
125,Madu Herbapros 280 ml,-,10000,10,0,Produk Aktif,11/13/2025 20:55,11/13/2025 20:55,NULL,Fira 10
